viewDate,areaMunKm,areaUcKm,uc,uf,municipio
11/04/2021,0.37,0,,TO,Peixe
19/11/2021,0.08,0,,TO,Ponte Alta do Tocantins
13/06/2021,0.23,0,,TO,Itacajá
19/11/2021,0.35,0,,TO,Dois Irmãos do Tocantins
05/06/2021,0.25,0,,TO,Ponte Alta do Tocantins
13/06/2021,0.17,0,,TO,São Salvador do Tocantins
19/11/2021,0.18,0,,TO,Ponte Alta do Tocantins
19/11/2021,0.31,0,,TO,Abreulândia
19/11/2021,0.58,0,,TO,Caseara
19/11/2021,0.08,0,,TO,Divinópolis do Tocantins
13/06/2021,0.47,0,,TO,Ponte Alta do Tocantins
13/06/2021,0.19,0,,TO,Pindorama do Tocantins
19/11/2021,0.06,0,,TO,Abreulândia
13/06/2021,0.38,0,,TO,Palmeirópolis
19/11/2021,0.43,0,,TO,Dois Irmãos do Tocantins
11/04/2021,0.45,0,,TO,Dois Irmãos do Tocantins
05/06/2021,0.65,0,,TO,Ponte Alta do Tocantins
19/11/2021,0.05,0,,TO,Divinópolis do Tocantins
19/11/2021,0.14,0,,TO,Divinópolis do Tocantins
13/06/2021,0.14,0,,TO,Tupirama
19/11/2021,0.22,0,,TO,Abreulândia
19/11/2021,0.07,0,,TO,Divinópolis do Tocantins
19/11/2021,0.05,0,,TO,Santa Rita do Tocantins
19/11/2021,0.46,0,,TO,Abreulândia
19/11/2021,0.18,0,,TO,Couto Magalhães
19/11/2021,0.39,0,,TO,Couto Magalhães
13/06/2021,0.25,0,,TO,Pindorama do Tocantins
19/11/2021,0.16,0,,TO,Ponte Alta do Tocantins
19/11/2021,0.32,0,,TO,Recursolândia
19/11/2021,0.11,0,,TO,Divinópolis do Tocantins
19/11/2021,0.18,0,,TO,Araguacema
19/11/2021,0.28,0,,TO,Recursolândia
19/11/2021,0.22,0,,TO,Itacajá
19/11/2021,0.13,0,,TO,Itacajá
19/11/2021,0.26,0,,TO,Couto Magalhães
19/11/2021,0.1,0,,TO,Couto Magalhães
13/06/2021,0.13,0,,TO,Monte do Carmo
19/11/2021,0.4,0,,TO,Itacajá
19/11/2021,0.49,0,,TO,Couto Magalhães
19/11/2021,0.1,0,,TO,Couto Magalhães
19/11/2021,0.18,0,,TO,Palmeirante
07/06/2021,0.23,0,,TO,Araguacema
19/11/2021,0.18,0,,TO,Santa Rita do Tocantins
11/04/2021,0.34,0,,TO,Chapada da Natividade
19/11/2021,0.47,0,,TO,Abreulândia
19/11/2021,0.13,0,,TO,Filadélfia
19/11/2021,0.47,0,,TO,Goiatins
19/11/2021,0.23,0,,TO,Palmeirante
07/06/2021,0.61,0,,TO,Couto Magalhães
11/04/2021,0.07,0,,TO,Natividade
11/04/2021,0.52,0,,TO,Chapada da Natividade
10/05/2021,0.09,0,,TO,Itacajá
09/07/2021,0.51,0,,TO,Formoso do Araguaia
27/05/2021,2.05,0,,TO,Palmeirante
21/05/2021,0.65,0,,TO,Divinópolis do Tocantins
19/11/2021,0.6,0,,TO,Santa Rita do Tocantins
18/07/2021,1.02,0,,TO,Dueré
06/12/2021,0.38,0,,TO,Santa Rita do Tocantins
19/11/2021,0.71,0,,TO,Palmeirante
24/10/2021,0.17,0,,TO,Goiatins
27/05/2021,8.31,0,,TO,Dianópolis
02/06/2021,0.11,0,,TO,Darcinópolis
21/05/2021,1.17,0,,TO,Ponte Alta do Tocantins
05/09/2021,0.71,0,,TO,Mateiros
28/11/2021,0.55,0,,TO,Novo Acordo
28/11/2021,6.13,0,,TO,Rio Sono
28/11/2021,0.01,0,,TO,Lizarda
28/11/2021,0.76,0,,TO,Pium
28/11/2021,0.53,0,,TO,Araguacema
07/06/2021,0.06,0,,TO,Cristalândia
09/07/2021,0.33,0,,TO,Bom Jesus do Tocantins
28/11/2021,3.01,0,,TO,Santa Rita do Tocantins
28/11/2021,0.86,0,,TO,Goianorte
13/11/2021,2.79,0,,TO,Dois Irmãos do Tocantins
05/04/2021,4.5,0,,TO,Paranã
19/11/2021,0.27,0,,TO,Abreulândia
28/11/2021,1.68,0,,TO,Tupirama
21/10/2021,0.23,0,,TO,Paranã
21/10/2021,0.16,0,,TO,Sandolândia
21/10/2021,0.27,0,,TO,Dueré
21/10/2021,0.35,0,,TO,Natividade
21/10/2021,0.37,0,,TO,Formoso do Araguaia
21/10/2021,0.26,0,,TO,Alvorada
21/10/2021,0.34,0,,TO,Sucupira
21/10/2021,0.37,0,,TO,Formoso do Araguaia
21/10/2021,0.38,0,,TO,Formoso do Araguaia
21/10/2021,0.44,0,,TO,Dueré
21/10/2021,0.31,0,,TO,Dueré
21/10/2021,0.38,0,,TO,Lagoa da Confusão
21/10/2021,0.21,0,,TO,Alvorada
21/10/2021,0.51,0,,TO,Lagoa da Confusão
21/10/2021,0.48,0,,TO,Santa Rita do Tocantins
28/11/2021,1.14,0,,TO,Novo Acordo
02/09/2021,0.95,0,,TO,Dois Irmãos do Tocantins
02/09/2021,0.08,0,,TO,Araguacema
02/09/2021,0.14,0,,TO,Palmas
02/09/2021,0.17,0,,TO,Palmas
21/10/2021,0.61,0,,TO,Dueré
02/09/2021,0.13,0,,TO,Miracema do Tocantins
02/09/2021,0.19,0,,TO,Recursolândia
02/09/2021,0.09,0,,TO,Santa Maria do Tocantins
02/09/2021,0.04,0,,TO,Araguacema
02/09/2021,0.3,0,,TO,Araguacema
02/09/2021,0.13,0,,TO,Rio Sono
02/09/2021,0.04,0,,TO,Carolina
02/09/2021,0,0,,TO,Goiatins
02/09/2021,0.14,0,,TO,Pedro Afonso
02/09/2021,0.27,0,,TO,Pugmil
21/10/2021,1.08,0,,TO,Dueré
24/10/2021,0.16,0,,TO,Goiatins
02/09/2021,0.13,0,,TO,Santa Maria do Tocantins
28/11/2021,0.48,0,,TO,Santa Rita do Tocantins
28/11/2021,0.16,0,,TO,Couto Magalhães
11/04/2021,1.01,0,,TO,Paranã
28/11/2021,0.29,0,,TO,Couto Magalhães
13/11/2021,0.19,0,,TO,Santa Maria do Tocantins
13/11/2021,0.3,0,,TO,Santa Maria do Tocantins
13/11/2021,0.01,0,,TO,Bom Jesus do Tocantins
28/11/2021,0.2,0,,TO,Couto Magalhães
13/11/2021,0.3,0,,TO,Palmeirante
13/11/2021,0.33,0,,TO,Filadélfia
13/11/2021,0.14,0,,TO,São Bento do Tocantins
02/09/2021,0.12,0,,TO,Santa Maria do Tocantins
28/11/2021,0.17,0,,TO,Couto Magalhães
30/07/2021,0.46,0,,TO,Paranã
02/09/2021,0.18,0,,TO,Palmas
28/11/2021,0.49,0,,TO,Porto Nacional
02/09/2021,0.57,0,,TO,Pugmil
02/06/2021,1.18,0,,TO,Rio Sono
08/04/2021,2.25,0,,TO,Ananás
09/05/2021,0.27,0,,TO,Araguacema
02/09/2021,0.12,0,,TO,Lizarda
04/06/2021,0.42,0,,TO,Lagoa da Confusão
28/11/2021,0.11,0,,TO,Araguacema
24/10/2021,0.21,0,,TO,Guaraí
08/04/2021,1.6,0,,TO,Ananás
28/11/2021,0.12,0,,TO,Araguacema
30/05/2021,3.19,0,,TO,Conceição do Tocantins
02/09/2021,0.23,0,,TO,Araguacema
